time,TP9,AF7,AF8,TP10
1691552235537,-20.5078125,-20.5078125,-23.92578125,-41.015625
1691552235583.875,-35.64453125,-38.57421875,-27.34375,-27.83203125
1691552235630.75,-34.66796875,-49.8046875,-29.296875,-36.62109375
1691552235677.625,-25.87890625,-33.69140625,-13.671875,-25.390625
1691552235724.5,-40.52734375,-26.85546875,-35.15625,-29.296875
1691552235771.375,-51.26953125,-38.57421875,-31.73828125,-33.69140625
1691552235818.25,-39.55078125,-26.3671875,-29.296875,-37.109375
1691552235865.125,-39.0625,-28.3203125,-29.78515625,-33.203125
1691552235912,-48.33984375,-48.828125,-16.6015625,-26.85546875
1691552235958.875,-18.06640625,-23.92578125,-18.5546875,-19.53125
1691552236005.75,-34.1796875,-38.57421875,-24.90234375,-35.15625
1691552236052.625,-28.80859375,-24.90234375,-20.5078125,-30.76171875
1691552236099.5,-25.390625,-22.4609375,-21.484375,-39.0625
1691552236146.375,-39.0625,-36.62109375,-33.69140625,-37.59765625
1691552236193.25,-32.2265625,-26.85546875,-27.34375,-38.57421875
1691552236240.125,-43.9453125,-24.4140625,-28.80859375,-43.45703125
1691552236287,-38.0859375,-42.48046875,-31.73828125,-39.55078125
1691552236333.875,-32.71484375,-26.3671875,-28.3203125,-31.73828125
1691552236380.75,-32.71484375,-23.92578125,-32.2265625,-38.57421875
1691552236427.625,-37.59765625,-29.296875,-20.5078125,-28.3203125
1691552236474.5,-32.71484375,-40.52734375,-36.62109375,-29.78515625
1691552236521.375,-32.71484375,-31.25,-27.34375,-36.1328125
1691552236568.25,-33.69140625,-29.78515625,-24.4140625,-37.109375
1691552236615.125,-28.80859375,-33.203125,-25.87890625,-23.92578125
1691552236662,-27.34375,-23.4375,-25.87890625,-43.45703125
1691552236708.875,-47.36328125,-30.76171875,-17.578125,-33.203125
1691552236755.75,-71.77734375,-36.62109375,-0.9765625,-33.203125
1691552236802.625,-27.83203125,-24.90234375,-4.39453125,-0.9765625
1691552236849.5,-32.2265625,-23.92578125,-19.04296875,-12.6953125
1691552236896.375,-41.50390625,-44.43359375,-24.4140625,-20.99609375
1691552236943.25,-33.69140625,-30.2734375,-23.4375,-25.390625
1691552236990.125,-40.0390625,-46.38671875,-27.34375,-29.296875
1691552237037,-36.62109375,-36.62109375,-43.45703125,-43.45703125
1691552237083.875,-54.19921875,-40.52734375,-30.76171875,-56.640625
1691552237130.75,-42.48046875,-18.5546875,-36.62109375,-34.66796875
